ID,EarthquakeName,Starttime,Mw,HypLat,HypLon,Etype,Depth,Station,StaLat,StaLon,Rhyp,Repi,Rrup,Rjb,Vs30,Az
100,20071114_7.7Mw_22.24S_70.07W_39KM,2007-11-14 00:00:00.000,7.7,-22.24,-70.07,interface,39,PUERTO PATACHE,-20.807,-70.194,163.4144539,159.1866054,89.95036857,86.06378219,522,0
101,20071114_7.7Mw_22.24S_70.07W_39KM,2007-11-14 15:41:26.600,7.7,-22.24,-70.07,interface,39,PICA,-20.4921,-69.3303,211.1635375,208.1804808,148.430374,145.4231071,492,339
102,20071114_7.7Mw_22.24S_70.07W_39KM,2007-11-14 15:42:14.800,7.7,-22.24,-70.07,interface,39,PISAGUA,-19.5951,-70.2107,294.8604317,293.198498,221.5221545,220.1945993,529,210
103,20071114_7.7Mw_22.24S_70.07W_39KM,2007-11-14 15:41:26.900,7.7,-22.24,-70.07,interface,39,SAN PEDRO DE ATACAMA,-22.9105,-68.2001,209.1631153,206.1353375,145.6946522,135.3481024,326,0
104,20071114_7.7Mw_22.24S_70.07W_39KM,2007-11-14 15:40:59.800,7.7,-22.24,-70.07,interface,39,TOCOPILLA PUERTO,-22.0941,-70.2092,44.55644221,21.61345042,27.85006734,5.300403773,644,0
105,20071115_5.9Mw_22.34S_70.18W_39KM,2007-11-15 15:03:17.200,5.9,-22.34,-70.18,interface,39,MEJILLONES,-23.103,-70.446,96.73940092,88.80364256,96.73940092,88.80364256,343,0
106,20071115_6.8Mw_23.04S_70.18W_40KM,2007-11-15 15:06:05.300,6.8,-23.04,-70.18,interface,40,MEJILLONES,-23.103,-70.446,48.85320006,28.13538849,48.85320006,28.13538849,343,0
107,20071117_5.4Mw_23.01S_70.10W_35KM,2007-11-17 03:07:39.100,5.4,-23.01,-70.1,interface,35,MEJILLONES,-23.103,-70.446,50.80216699,36.92349927,50.80216699,36.92349927,343,0
108,20071118_5.5Mw_23.02S_70.25W_31KM,2007-11-18 07:02:57.000,5.5,-23.02,-70.25,interface,31,POCONCHILE,-18.4525,-70.0667,505.6258981,506.0464437,505.6258981,506.0464437,533,170
109,20071213_6.2Mw_23.10S_70.26W_43KM,2007-12-13 07:23:48.700,6.2,-23.1,-70.26,interface,43,MEJILLONES PUERTO,-23.0776,-70.3845,44.90794301,12.99467122,44.90794301,12.99467122,546,0
110,20071215_5.8Mw_32.28S_71.26W_45KM,2007-12-15 14:19:45.000,5.8,-32.28,-71.26,interface,45,VINA DEL MAR CENTRO,-33.0249,-71.5529,97.72625209,87.05854668,97.72625209,87.05854668,314,0
111,20071215_5.8Mw_32.28S_71.26W_45KM,2007-12-15 18:22:37.300,5.8,-32.28,-71.26,interface,45,VINA DEL MAR EL SALTO,-33.0472,-71.5099,98.78301543,88.251624,98.78301543,88.251624,260,0
112,20071216_6.7Mw_22.33S_70.06W_42KM,2007-12-16 08:09:27.000,6.7,-22.33,-70.06,interface,42,MEJILLONES,-23.103,-70.446,102.9817807,94.34122204,102.9817807,94.34122204,343,0
113,20071216_6.7Mw_22.33S_70.06W_42KM,2007-12-16 08:09:26.100,6.7,-22.33,-70.06,interface,42,MEJILLONES CENTRAL,-23.08,-70.41,99.50342903,90.5054901,99.50342903,90.5054901,108,0
114,20071216_6.7Mw_22.33S_70.06W_42KM,2007-12-16 08:09:25.600,6.7,-22.33,-70.06,interface,42,MEJILLONES PUERTO,-23.0776,-70.3845,98.37075071,89.25033238,98.37075071,89.25033238,546,0
115,20071216_6.7Mw_22.33S_70.06W_42KM,2007-12-16 08:09:26.800,6.7,-22.33,-70.06,interface,42,MICHILLA,-22.7575,-70.281,67.10915769,52.51562983,67.10915769,52.51562983,452,0
116,20071216_6.7Mw_22.33S_70.06W_42KM,2007-12-16 08:09:45.900,6.7,-22.33,-70.06,interface,42,TOCOPILLA PUERTO,-22.0941,-70.2092,51.73912998,30.31524407,51.73912998,30.31524407,644,0
117,20080122_5.2Mw_19.34S_70.03W_49KM,2008-01-22 06:07:16.000,5.2,-19.34,-70.03,interface,49,ALTO HOSPICIO,-20.2651,-70.1006,113.4103672,102.6770857,113.4103672,102.6770857,589,246
118,20080122_5.2Mw_19.34S_70.03W_49KM,2008-01-22 09:09:37.000,5.2,-19.34,-70.03,interface,49,IQUIQUE,-20.2141,-70.1377,108.7114972,97.42016863,108.7114972,97.42016863,449,9
119,20080122_5.2Mw_19.34S_70.03W_49KM,2008-01-22 09:09:37.400,5.2,-19.34,-70.03,interface,49,IQUIQUE ESCUELA CHIPANA,-20.2516,-70.1261,112.2795808,101.416846,112.2795808,101.416846,394,24
